index,name,artist,release_date,length,popularity,danceability,acousticness,energy,tempo,valence
4809,Bring On The Night,The Police,1979,4.25355,54,0.727,0.0566,0.627,109.603,0.773
4882,(Wish I Could Fly Like) Superman,The Kinks,1979,3.616133333,41,0.773,0.0435,0.683,123.453,0.952
5026,Boys Keep Swinging - 2017 Remaster,David Bowie,1979,3.308433333,44,0.475,0.395,0.69,122.628,0.908
5061,Darlin' - 2011 Remaster,Frankie Miller,1979,3.073566667,45,0.754,0.321,0.399,121.666,0.76
5098,Here Comes My Girl,Tom Petty and the Heartbreakers,1979,4.40755,54,0.578,0.0517,0.734,104.851,0.373
5161,The Devil Went Down to Georgia,The Charlie Daniels Band,1979,3.584433333,62,0.517,0.131,0.535,135.087,0.933
5164,Harmony In My Head - 2001 Remastered Version,Buzzcocks,1979,3.130666667,38,0.327,0.000149,0.886,169.755,0.667
5286,We´re Only In It For The Drugs No.1,Ebba Grön,1979,4.404433333,39,0.239,0.00317,0.964,176.281,0.628
5386,Lexicon Devil,Germs,1979,1.739333333,46,0.504,0.000242,0.877,106.272,0.821
5440,Planet Claire,The B-52's,1979,4.627333333,46,0.715,0.0529,0.549,141.795,0.734
16,Back In Black,AC/DC,1980,4.258216667,84,0.31,0.011,0.7,188.386,0.763
33,You Shook Me All Night Long,AC/DC,1980,3.502883333,80,0.532,0.00287,0.767,127.361,0.755
102,Once in a Lifetime - 2005 Remaster,Talking Heads,1980,4.331766667,71,0.644,0.181,0.919,117.459,0.871
168,Another One Bites The Dust - Remastered 2011,Queen,1980,3.57755,73,0.933,0.112,0.528,109.975,0.756
176,Hells Bells,AC/DC,1980,5.204883333,75,0.389,0.00532,0.873,106.767,0.303
179,Ace of Spades,Motörhead,1980,2.782,74,0.329,0.000852,0.974,140.862,0.234
213,Crazy Train,Ozzy Osbourne,1980,4.936666667,56,0.453,0.36,0.905,137.571,0.474
262,Brass in Pocket - 2006 Remaster,Pretenders,1980,3.099333333,66,0.751,0.368,0.703,97.931,0.907
435,Crazy Little Thing Called Love - Remastered 2011,Queen,1980,2.722883333,74,0.599,0.713,0.761,77.015,0.712
442,The Spirit Of Radio,Rush,1980,4.9411,64,0.365,0.0144,0.924,135.811,0.632
458,Ashes to Ashes - 2017 Remaster,David Bowie,1980,4.436,63,0.71,0.273,0.743,120.277,0.866
523,Hungry Heart,Bruce Springsteen,1980,3.324216667,69,0.641,0.0857,0.894,109.823,0.972
548,Shoot to Thrill,AC/DC,1980,5.290433333,73,0.457,0.000239,0.904,141.038,0.48
580,I Will Follow - Remastered 2008,U2,1980,3.6231,59,0.36,0.000347,0.909,155.293,0.647
753,Whip It,DEVO,1980,2.68555,65,0.78,0.0744,0.869,157.902,0.957
790,That's Entertainment,The Jam,1980,3.546433333,61,0.567,0.211,0.653,142.218,0.78
940,Could You Be Loved,Bob Marley & The Wailers,1980,3.95,76,0.916,0.36,0.72,103.312,0.76
969,Hit Me With Your Best Shot,Pat Benatar,1980,2.854433333,69,0.741,0.117,0.58,127.402,0.944
1013,Rock and Roll Ain't Noise Pollution,AC/DC,1980,4.434,65,0.576,0.041,0.659,94.853,0.717
1032,Against The Wind,Bob Seger,1980,5.562,64,0.674,0.28,0.771,109.618,0.718
1052,Freewill,Rush,1980,5.363333333,56,0.485,0.0113,0.935,155.61,0.68
1104,Let My Love Open The Door,Pete Townshend,1980,2.744216667,59,0.651,0.365,0.653,164.912,0.729
1107,The River,Bruce Springsteen,1980,5.025766667,67,0.587,0.179,0.536,117.498,0.59
1203,Rough Boys,Pete Townshend,1980,4.058666667,42,0.277,0.477,0.815,82.063,0.362
1280,The Boys Light Up - Remastered,Australian Crawl,1980,4.6911,62,0.619,0.0968,0.935,97.894,0.704
1331,Turn Me Loose,Loverboy,1980,5.632216667,58,0.588,0.0841,0.641,119.374,0.548
1345,White Hot,Red Rider,1980,5.144,39,0.566,0.0569,0.751,155.689,0.573
1356,A Forest - 2006 Remaster,The Cure,1980,5.91555,54,0.633,0.34,0.62,81.117,0.421
1360,Keep on Loving You,REO Speedwagon,1980,3.338216667,71,0.306,0.0519,0.722,174.732,0.41
1377,Heaven and Hell - 2008 Remaster,Black Sabbath,1980,6.998883333,57,0.329,0.0239,0.673,91.122,0.323
1420,Babooshka,Kate Bush,1980,3.498883333,60,0.466,0.741,0.439,107.173,0.289
1576,Romeo and Juliet,Dire Straits,1980,6.02325,55,0.602,0.437,0.574,87.318,0.486
1676,Have a Drink on Me,AC/DC,1980,3.974433333,60,0.421,0.00167,0.889,122.424,0.424
1794,Everybody Wants Some!! - 2015 Remaster,Van Halen,1980,5.100816667,56,0.528,0.0506,0.769,144.84,0.48
1835,Rock 'n' Roll High School - 2002 Remaster,Ramones,1980,2.29,55,0.499,0.0183,0.87,188.853,0.893
1838,Hey Nineteen,Steely Dan,1980,5.123333333,62,0.952,0.0126,0.301,119.629,0.728
1911,The Magnificent Seven - Remastered,The Clash,1980,5.558666667,56,0.799,0.0604,0.789,116.081,0.832
1942,Master Blaster (Jammin'),Stevie Wonder,1980,5.134433333,37,0.874,0.0467,0.419,131.159,0.971
1984,Fool for Your Loving - 2011 Remaster,Whitesnake,1980,4.317766667,50,0.597,0.0368,0.92,122.417,0.74
1986,Video Killed The Radio Star,The Buggles,1980,4.212883333,71,0.68,0.103,0.678,131.165,0.251
1987,Thinking of You,Harlequin,1980,4.363333333,35,0.495,0.144,0.788,156.918,0.63
2137,Walking in Light,Th' Dudes,1980,3.679766667,37,0.609,0.158,0.82,118.895,0.695
2316,Heatstrokes,Krokus,1980,4.0111,29,0.37,0.000638,0.687,155.08,0.332
2320,Is It Okay If I Call You Mine?,Various Artists,1980,2.692216667,52,0.621,0.821,0.11,143.883,0.338
2338,Games Without Frontiers,Peter Gabriel,1980,4.1111,49,0.735,0.349,0.724,96.046,0.921
2365,Armed and Ready - 2009 Remaster,Michael Schenker Group,1980,4.188666667,48,0.329,0.00376,0.941,171.632,0.77
2376,Jackson Cage,Bruce Springsteen,1980,3.066216667,40,0.401,0.0773,0.911,138.908,0.699
2428,Hello Again - From "The Jazz Singer" Soundtrack,Neil Diamond,1980,4.052216667,53,0.262,0.415,0.212,122.49,0.0994
2574,Lately,Stevie Wonder,1980,4.087333333,56,0.437,0.478,0.152,76.011,0.267
2596,Crosseyed and Painless - 2005 Remaster,Talking Heads,1980,4.760216667,51,0.723,0.138,0.818,135.122,0.894
2814,Ready an' Willing - 2011 Remaster,Whitesnake,1980,3.7371,27,0.562,0.0603,0.868,99.905,0.887
2899,It's Still Rock and Roll to Me,Billy Joel,1980,2.940666667,67,0.752,0.0994,0.684,141.075,0.539
3016,I Ain't Gonna Stand For It,Stevie Wonder,1980,4.6494,27,0.728,0.000252,0.432,113.593,0.816
3036,Army Dreamers,Kate Bush,1980,2.977333333,51,0.679,0.737,0.0742,144.005,0.319
3053,Running Free - 2015 Remaster,Iron Maiden,1980,3.292883333,40,0.478,0.000777,0.823,171.263,0.764
3056,Save Me - Remastered 2011,Queen,1980,3.832,62,0.507,0.359,0.452,81.632,0.322
3072,Hold On Loosely,38 Special,1980,4.677266667,65,0.567,0.00888,0.559,127.227,0.898
3100,No Secrets,The Angels,1980,4.2991,56,0.478,0.00273,0.69,142.031,0.699
3179,Even It Up,Heart,1980,5.164883333,36,0.7,0.171,0.749,135.971,0.965
3192,Givin the Dog a Bone,AC/DC,1980,3.529333333,58,0.525,0.0704,0.975,132.686,0.736
3292,Skateaway,Dire Straits,1980,6.62555,52,0.513,0.272,0.809,116.599,0.605
3399,Battle Scar,Max Webster,1980,5.8471,28,0.415,0.0152,0.636,128.179,0.425
3419,Private Life,Grace Jones,1980,5.225883333,36,0.83,0.016,0.538,132.312,0.96
3545,People Who Died,The Jim Carroll Band,1980,4.994,46,0.315,0.0893,0.628,190.668,0.931
3615,All Out of Love,Air Supply,1980,4.05,68,0.512,0.313,0.262,108.381,0.357
3616,Arc Of A Diver,Steve Winwood,1980,5.432666667,44,0.564,0.77,0.744,185.699,0.656
3656,Precious - 2006 Remaster,Pretenders,1980,3.594433333,32,0.484,0.000688,0.862,91.171,0.69
3657,Neon Knights - 2008 Remaster,Black Sabbath,1980,3.894,45,0.212,0.000333,0.948,191.277,0.602
3658,Born Under Punches (The Heat Goes On) - 2005 Remaster,Talking Heads,1980,5.821333333,56,0.734,0.215,0.859,112.941,0.908
3665,Canary In A Coalmine,The Police,1980,2.444433333,49,0.811,0.0507,0.767,143.891,0.964
3667,I Want Candy,Bow Wow Wow,1980,2.738433333,55,0.688,0.0066,0.639,110.025,0.775
3679,Tattooed Love Boys - 2006 Remaster,Pretenders,1980,2.984883333,35,0.631,0.000905,0.887,121.355,0.781
3708,Let Me Put My Love Into You,AC/DC,1980,4.254433333,57,0.4,0.115,0.902,105.659,0.632
3753,Freedom of Choice Theme Song - Live,DEVO,1980,2.747766667,22,0.586,0.0052,0.897,148.795,0.818
3767,Turning Japanese - Non Stop Edit,The Vapors,1980,3.7351,53,0.503,0.0273,0.908,179.929,0.92
3782,Mystery Achievement - 2006 Remaster,Pretenders,1980,5.381766667,34,0.566,0.0211,0.791,139.009,0.942
3796,(Just Like) Starting Over - Remastered 2010,John Lennon,1980,3.942433333,61,0.701,0.301,0.79,99.104,0.421
3802,You May Be Right,Billy Joel,1980,4.22,63,0.567,0.175,0.945,150.792,0.961
3898,Flash's Theme - Remastered 2011,Queen,1980,3.499766667,40,0.504,0.49,0.522,109.966,0.175
3901,Baggy Trousers,Madness,1980,2.786216667,33,0.64,0.143,0.887,144.546,0.94
3956,United,Judas Priest,1980,3.587766667,48,0.633,0.278,0.643,84.53,0.724
3973,Pulling Mussels (From The Shell),Squeeze,1980,3.968883333,52,0.593,0.002,0.702,142.006,0.901
3983,While You See A Chance,Steve Winwood,1980,5.212883333,61,0.602,0.36,0.732,129.355,0.411
4001,Let's Shake,Teenage Head,1980,3.037766667,33,0.547,0.00109,0.715,107.926,0.961
4013,The Winner Takes It All,ABBA,1980,4.912216667,59,0.457,0.548,0.785,126.947,0.522
4039,Woman in Love,Barbra Streisand,1980,3.864,69,0.469,0.248,0.278,169.735,0.331
4102,Her Strut,Bob Seger,1980,3.8891,51,0.644,0.00269,0.829,115.883,0.461
4137,Shake a Leg,AC/DC,1980,4.094433333,56,0.417,0.0234,0.942,152.346,0.618
4161,Holiday,Nazareth,1980,3.604216667,29,0.615,0.0311,0.834,131.606,0.688
4182,I'm Coming Out,Diana Ross,1980,5.4211,67,0.739,0.177,0.917,110.163,0.749
4225,Upside Down,Diana Ross,1980,4.080433333,66,0.887,0.079,0.904,107.955,0.89
4284,Reward,The Teardrop Explodes,1980,2.704433333,47,0.389,0.000637,0.746,159.876,0.899
4309,Another Nail In My Heart,Squeeze,1980,2.936216667,41,0.557,0.109,0.6,149.645,0.834
4354,Expresso Love,Dire Straits,1980,5.190433333,52,0.599,0.467,0.868,140.149,0.858
4422,"When The World Is Running Down, You Make The Best Of What's Still Around",The Police,1980,3.6111,50,0.768,0.0422,0.647,123.937,0.802
4469,Boulevard,Jackson Browne,1980,3.346666667,40,0.541,0.339,0.855,141.142,0.82
4496,Chinatown,Thin Lizzy,1980,4.716666667,41,0.229,0.00655,0.851,152.407,0.567
4500,9 to 5,Dolly Parton,1980,2.707766667,76,0.554,0.416,0.783,105.39,0.813
4509,Downhearted - Remastered,Australian Crawl,1980,3.15,51,0.643,0.414,0.711,122.737,0.411
4560,Do You Remember Rock 'n' Roll Radio? - 2002 Remaster,Ramones,1980,3.824433333,49,0.302,0.445,0.961,152.366,0.659
4681,One Night in Bangkok,Murray Head,1980,3.934433333,57,0.892,0.112,0.578,108.703,0.621
4689,Seven Bridges Road - Live; 1999 Remaster,Eagles,1980,3.077333333,57,0.356,0.445,0.331,111.995,0.263
4726,The Kid Is Hot Tonite,Loverboy,1980,4.482666667,48,0.567,0.0286,0.697,142.559,0.696
4753,Cadillac Ranch,Bruce Springsteen,1980,3.05155,44,0.602,0.00508,0.949,133.275,0.961
4845,Living After Midnight,Judas Priest,1980,3.502216667,64,0.61,0.0136,0.824,134.992,0.819
4858,Police On My Back - Remastered,The Clash,1980,3.282,50,0.554,0.000631,0.853,146.039,0.889
4909,Don't Fight It,Red Rider,1980,4.343333333,25,0.516,0.124,0.724,151.704,0.637
4958,The Zoo - 2015 Remaster,Scorpions,1980,5.507766667,43,0.42,0.0609,0.865,102.934,0.225
4971,You'll Accomp'ny Me,Bob Seger,1980,4.003766667,57,0.589,0.0785,0.751,108.849,0.637
4985,Driven To Tears,The Police,1980,3.342216667,50,0.615,0.009,0.523,158.511,0.603
5126,Crash And Burn,Pat Travers,1980,5.343333333,23,0.559,0.0141,0.408,127.57,0.698
5246,You Make My Dreams (Come True),Daryl Hall & John Oates,1980,3.1771,78,0.751,0.234,0.501,167.057,0.902
5251,Sherry Darling,Bruce Springsteen,1980,4.052883333,50,0.547,0.119,0.944,139.213,0.901
5254,747 (Strangers in the Night) - 2009 Remastered Version,Saxon,1980,4.97335,46,0.478,0.00771,0.937,131.418,0.294
5281,Mr. Crowley,Ozzy Osbourne,1980,5.044,38,0.287,0.204,0.757,108.554,0.357
5328,History Lesson Part 2,Minutemen,1980,2.216666667,41,0.676,0.37,0.243,121.197,0.668
5370,Holiday in Cambodia,Dead Kennedys,1980,4.62555,46,0.13,0.617,0.979,205.39,0.368
5375,California Über Alles,Dead Kennedys,1980,3.062216667,42,0.345,0.561,0.925,102.242,0.595
5383,Soul Kitchen,X,1980,2.434433333,23,0.506,0.00251,0.941,100.692,0.84
5431,Born Under Punches (The Heat Goes On),Talking Heads,1980,5.816216667,37,0.731,0.312,0.709,112.426,0.908
110,Start Me Up - Remastered,The Rolling Stones,1981,3.5511,76,0.631,0.0436,0.932,122.429,0.971
123,I Love Rock 'N Roll,Joan Jett & The Blackhearts,1981,2.91955,73,0.535,0.326,0.716,94.379,0.901
181,Tom Sawyer,Rush,1981,4.614666667,72,0.536,0.00145,0.901,87.559,0.666
217,In The Air Tonight - 2015 Remastered,Phil Collins,1981,5.60755,77,0.446,0.551,0.239,189.507,0.298
437,For Those About to Rock (We Salute You),AC/DC,1981,5.737333333,66,0.37,0.000376,0.919,134.021,0.471
476,Limelight,Rush,1981,4.33065,64,0.581,0.00197,0.854,131.18,0.788
506,Tainted Love,Soft Cell,1981,2.564,68,0.542,0.558,0.45,144.437,0.626
531,Every Little Thing She Does Is Magic,The Police,1981,4.342883333,73,0.558,0.121,0.768,81.909,0.429
744,Don't You Want Me,The Human League,1981,3.948666667,74,0.731,0.184,0.738,117.656,0.958
943,Urgent,Foreigner,1981,4.52,59,0.855,0.342,0.803,114.867,0.962
1128,YYZ,Rush,1981,4.430666667,58,0.51,0.00205,0.919,141.053,0.386
1138,Bad Reputation,Joan Jett & The Blackhearts,1981,2.819766667,66,0.378,0.00192,0.974,203.715,0.824
1255,Girls on Film - 2010 Remaster,Duran Duran,1981,3.54755,61,0.725,0.0173,0.859,131.697,0.53
1286,Let's Groove,"Earth, Wind & Fire",1981,5.655333333,73,0.869,0.121,0.648,125.035,0.9
1287,The Stroke - Remastered,Billy Squier,1981,3.626883333,66,0.67,0.62,0.591,91.439,0.8
1321,Abacab - 2007 Remaster,Genesis,1981,6.9691,46,0.702,0.0195,0.687,130.711,0.175
1359,Super Freak,Rick James,1981,3.424433333,76,0.838,0.22,0.794,132.446,0.962
1447,The Voice,The Moody Blues,1981,5.276,43,0.439,0.076,0.831,152.334,0.58
1598,That's When I Reach For My Revolver,Mission Of Burma,1981,3.892883333,50,0.3,0.00194,0.915,147.119,0.51
1709,Shake It Up,The Cars,1981,3.590666667,49,0.692,0.0723,0.74,147.274,0.864
1952,Open Arms,Journey,1981,3.36955,70,0.405,0.584,0.21,100.577,0.174
1953,Vienna - 2009 Remaster,Ultravox,1981,4.659766667,50,0.532,0.15,0.581,80.496,0.498
1961,Lonely Is The Night - Remastered,Billy Squier,1981,4.690883333,64,0.347,0.209,0.803,85.362,0.672
1970,Sex Dwarf - Original Version,Soft Cell,1981,5.272216667,36,0.502,0.157,0.632,148.065,0.673
2069,Little Girls,Oingo Boingo,1981,3.72525,51,0.611,0.0257,0.817,172.14,0.759
2122,Love Action (I Believe In Love),The Human League,1981,5.030433333,52,0.702,0.0805,0.588,121.738,0.728
2174,I Surrender,Rainbow,1981,4.03155,56,0.49,0.132,0.86,132.673,0.795
2257,Princess of the Night - 2009 Remastered Version,Saxon,1981,4.042883333,51,0.362,0.00328,0.797,107.249,0.753
2427,It Must Be Love,Madness,1981,3.437766667,57,0.536,0.103,0.606,146.425,0.719
2523,Letting Go,Straight Lines,1981,3.54,13,0.53,0.599,0.359,104.97,0.185
2673,Would I Lie to You - 2011 Remaster,Whitesnake,1981,4.484,22,0.628,0.067,0.866,123.497,0.748
2701,Be Good Johnny,Men At Work,1981,3.59,43,0.583,0.0743,0.635,150.144,0.555
2704,Academy Fight Song,Mission Of Burma,1981,3.1631,38,0.341,1.06E-05,0.818,160.219,0.761
2736,The One That You Love,Air Supply,1981,4.316666667,58,0.396,0.728,0.479,109.973,0.184
2762,Let's Get It Up,AC/DC,1981,3.900433333,52,0.514,0.000702,0.904,108.927,0.682
2865,Who's Crying Now,Journey,1981,5.002433333,59,0.57,0.0548,0.554,122.135,0.372
2929,Genius of Love,Tom Tom Club,1981,5.572666667,57,0.921,0.0845,0.529,102.941,0.724
2971,Don't Break My Heart Again - 2011 Remaster,Whitesnake,1981,4.063333333,38,0.643,0.114,0.816,130.799,0.824
3124,Pearl Necklace,ZZ Top,1981,4.080433333,42,0.609,0.0152,0.746,155.817,0.957
3238,The Breakup Song,The Greg Kihn Band,1981,2.828216667,57,0.703,0.0367,0.895,141.558,0.965
3274,Planet Earth - 2010 Remaster,Duran Duran,1981,4.054433333,50,0.588,0.00228,0.916,131.197,0.549
3352,Voodoo - 2009 Remaster,Black Sabbath,1981,4.540216667,34,0.511,0.0234,0.748,102.068,0.687
3449,Dead Souls - 2007 Remaster,Joy Division,1981,4.894883333,39,0.484,0.0496,0.962,116.795,0.633
3553,"My Girl (Gone, Gone, Gone)",Chilliwack,1981,4.241766667,46,0.439,0.38,0.821,111.242,0.472
3565,Give It To Me Baby,Rick James,1981,4.13555,63,0.706,0.114,0.727,119.55,0.965
3688,Only A Lad,Oingo Boingo,1981,3.956666667,43,0.655,0.0399,0.783,179.466,0.776
3714,The Unguarded Moment - 2002 Digital Remaster,The Church,1981,4.24,52,0.404,0.00547,0.843,135.904,0.497
3781,Bringin' On The Heartbreak,Def Leppard,1981,4.562216667,56,0.329,0.0366,0.676,78.217,0.529
3786,Fits Ya Good,Bryan Adams,1981,4.6,37,0.519,0.00161,0.71,103.542,0.658
3899,And the Bands Played On - 2009 Remastered Version,Saxon,1981,2.798,31,0.41,0.00872,0.805,131.811,0.77
3951,Bette Davis Eyes,Kim Carnes,1981,3.8,73,0.675,0.0204,0.649,116.624,0.596
4108,Private Eyes,Daryl Hall & John Oates,1981,3.62,64,0.85,0.409,0.938,120.826,0.84
4121,Mercury Blues,David Lindley,1981,3.537333333,43,0.409,0.00539,0.862,173.689,0.499
4211,To Cut a Long Story Short - 2010 Remaster,Spandau Ballet,1981,3.328216667,30,0.577,0.147,0.893,142.424,0.86
4255,Mamma pappa barn,Ebba Grön,1981,3.050216667,40,0.542,0.00314,0.797,157.1,0.725
4304,Who Can It Be Now?,Men At Work,1981,3.387766667,58,0.807,0.0444,0.83,128.501,0.954
4329,Arthur's Theme (Best That You Can Do),Various Artists,1981,3.908216667,69,0.526,0.169,0.515,136.543,0.518
4333,Waiting for a Girl like You,Foreigner,1981,4.867766667,70,0.33,0.31,0.469,201.327,0.433
4447,Lonely Nights,Bryan Adams,1981,3.774433333,34,0.505,0.00514,0.633,131.974,0.548
4456,Just Between You And Me,April Wine,1981,3.926,48,0.511,0.408,0.308,83.546,0.377
4472,One Step Ahead,Split Enz,1981,2.863766667,27,0.683,0.357,0.346,100.915,0.689
4530,Tube Snake Boogie,ZZ Top,1981,3.063333333,45,0.577,0.00422,0.648,150.435,0.967
4574,There's Only One Way To Rock,Sammy Hagar,1981,4.254433333,50,0.432,0.00944,0.804,153.362,0.508
4593,We Got The Beat,The Go-Go's,1981,2.552216667,60,0.587,0.155,0.994,151.941,0.481
4595,What About Me?,Moving Pictures,1981,3.616883333,41,0.631,0.628,0.392,126.532,0.191
4599,I Go to Sleep - 2006 Remaster,Pretenders,1981,2.946433333,49,0.559,0.816,0.365,153.485,0.213
4914,Veteran of the Psychic Wars,Blue Öyster Cult,1981,4.826433333,49,0.453,0.162,0.776,85.992,0.568
4918,All Those Years Ago - Remastered 2004,George Harrison,1981,3.788666667,54,0.555,0.137,0.639,125.77,0.518
5037,Slave - Remastered,The Rolling Stones,1981,6.546666667,43,0.564,0.115,0.862,133.242,0.847
5165,Entertain Me,Soft Cell,1981,3.582216667,20,0.513,0.217,0.727,165.932,0.617
5225,Flying High Again,Ozzy Osbourne,1981,4.7351,54,0.315,0.00499,0.938,125.277,0.527
5241,High 'N' Dry (Saturday Night),Def Leppard,1981,3.4425,43,0.525,0.0251,0.897,121.427,0.88
5302,800°,Ebba Grön,1981,3.788883333,51,0.334,0.0285,0.845,169.503,0.352
5379,I Hate Children,Adolescents,1981,1.757766667,39,0.307,0.000684,0.942,148.12,0.668
5390,Rise Above,Black Flag,1981,2.442666667,57,0.374,0.119,0.816,104.56,0.138
71,Should I Stay or Should I Go - Remastered,The Clash,1982,3.149766667,79,0.742,0.079,0.833,113.375,0.816
134,Rock the Casbah - Remastered,The Clash,1982,3.7071,72,0.796,0.287,0.872,129.894,0.866
237,White Wedding - Pt. 1,Billy Idol,1982,4.203333333,69,0.673,0.0133,0.814,147.193,0.728
315,Bad To The Bone,George Thorogood & The Destroyers,1982,4.86955,68,0.459,0.00614,0.727,149.231,0.955
346,Jack & Diane,John Mellencamp,1982,4.24155,74,0.811,0.0365,0.41,103.965,0.626
358,Billie Jean,Michael Jackson,1982,4.8971,83,0.92,0.0236,0.654,117.046,0.847
368,Run to the Hills - 2015 Remaster,Iron Maiden,1982,3.891766667,60,0.249,0.0286,0.943,173.671,0.458
559,Come On Eileen,Dexys Midnight Runners,1982,4.788433333,1,0.45,0.648,0.658,106.799,0.781
611,Hungry Like the Wolf - 2009 Remaster,Duran Duran,1982,3.6771,72,0.691,0.0433,0.812,127.568,0.685
625,Run to the Hills - 2015 Remaster,Iron Maiden,1982,3.891766667,71,0.249,0.0286,0.943,173.671,0.458
804,New World Man,Rush,1982,3.705333333,46,0.522,0.185,0.812,157.912,0.864
845,Eminence Front,The Who,1982,5.670666667,54,0.694,0.222,0.788,98.089,0.569
847,(Oh) Pretty Woman - 2015 Remaster,Van Halen,1982,2.877833333,58,0.441,0.192,0.97,128.289,0.5
1167,Dirty Laundry,Don Henley,1982,5.613333333,60,0.756,0.0848,0.773,98.384,0.954
1169,Lady Marmalade,Patti LaBelle,1982,3.9211,57,0.571,0.551,0.654,117.955,0.947
1195,Rosanna,TOTO,1982,5.52,72,0.365,0.0208,0.513,80.647,0.739
1247,Atlantic City,Bruce Springsteen,1982,3.944216667,56,0.475,0.311,0.429,108.034,0.34
1273,You've Got Another Thing Coming,Judas Priest,1982,5.168,66,0.519,0.00572,0.833,138.225,0.532
1318,Bow River - 2011 Remastered,Cold Chisel,1982,4.390533333,54,0.28,0.057,0.948,176.896,0.644
1432,I Melt with You,Modern English,1982,4.192883333,61,0.541,0.000975,0.81,155.582,0.647
1533,I Love It Loud,KISS,1982,4.2571,58,0.414,0.000402,0.897,170.916,0.263
1581,Africa,TOTO,1982,4.93155,83,0.671,0.257,0.373,92.718,0.732
1700,Straight to Hell - Remastered,The Clash,1982,5.508433333,58,0.802,0.0466,0.595,90.273,0.708
1840,Heat Of The Moment,Asia,1982,3.793766667,68,0.323,0.315,0.839,136.232,0.543
1924,Maneater,Daryl Hall & John Oates,1982,4.552883333,74,0.724,0.0405,0.498,88.825,0.823
1981,Love My Way,The Psychedelic Furs,1982,3.566216667,67,0.637,0.0048,0.85,126.106,0.52
2000,Shoot out the Lights,Richard & Linda Thompson,1982,5.407333333,21,0.57,0.0652,0.378,83.642,0.691
2075,Where Have All the Good Times Gone! - 2015 Remaster,Van Halen,1982,3.08155,53,0.544,0.174,0.951,122.015,0.62
2236,You Got Nothing I Want - 2011 Remastered,Cold Chisel,1982,3.293233333,41,0.511,0.000457,0.979,135.616,0.688
2374,"The Celtic Soul Brothers (More, Please, Thank You)",Dexys Midnight Runners,1982,3.217766667,38,0.61,0.0385,0.691,91.597,0.663
2446,Don't Tell Me You Love Me,Night Ranger,1982,4.380433333,52,0.389,0.0393,0.84,176.589,0.493
2449,You Keep Runnin' Away,38 Special,1982,3.94555,25,0.646,0.00564,0.708,132.927,0.837
2467,Bang the Drum All Day - 2015 Remaster,Todd Rundgren,1982,3.646,44,0.639,0.755,0.784,143.111,0.934
2481,You Can't Catch Me - Single Version,Chuck Berry,1982,2.709766667,37,0.816,0.816,0.701,122.537,0.885
2490,Senses Working Overtime - Remastered,XTC,1982,4.84445,52,0.68,0.0289,0.665,129.899,0.862
2568,US Forces - Remastered Version,Midnight Oil,1982,4.101766667,41,0.612,0.0377,0.967,142.873,0.37
2627,When I'm With You,Sheriff,1982,3.967333333,53,0.248,0.274,0.324,135.786,0.122
2632,Someone Somewhere (In Summertime),Simple Minds,1982,4.63,54,0.552,0.025,0.574,99.5,0.718
2670,New Gold Dream (81/82/83/84) - Remastered 2002,Simple Minds,1982,5.658,53,0.592,6.05E-05,0.825,123.36,0.732
2711,Streets Of London,Anti-Nowhere League,1982,3.300433333,28,0.276,0.094,0.777,173.966,0.64
2996,Industrial Disease,Dire Straits,1982,5.83955,37,0.608,0.00281,0.844,149.63,0.722
3110,Forever Now - 2011 Remastered,Cold Chisel,1982,4.467966667,55,0.619,0.011,0.874,129.962,0.775
3131,Mexican Radio,Wall Of Voodoo,1982,4.147766667,48,0.505,0.0148,0.701,164.684,0.616
3249,Avalon - Remastered,Roxy Music,1982,4.28065,63,0.759,0.699,0.563,136.67,0.86
3273,Stone Cold,Rainbow,1982,5.288433333,50,0.419,0.0523,0.613,112.638,0.733
3307,Only Time Will Tell,Asia,1982,4.75,55,0.333,0.143,0.803,125.52,0.323
3312,More Than This - Remastered,Roxy Music,1982,4.51085,66,0.653,0.0508,0.666,128.505,0.765
3374,She Blinded Me With Science - 2009 Remastered Version,Thomas Dolby,1982,3.706433333,49,0.798,0.0725,0.767,129.401,0.974
3377,Don't Take Me For A Loser,Gary Moore,1982,4.297766667,22,0.449,0.00705,0.727,130.588,0.633
3408,I'm So Excited,The Pointer Sisters,1982,3.844,72,0.59,0.0962,0.868,184.348,0.798
3471,House of Fun,Madness,1982,2.9691,44,0.746,0.265,0.921,128.081,0.92
3502,Pay to Cum,Bad Brains,1982,1.427333333,41,0.126,0.0017,0.914,160.639,0.369
3632,Gardening At Night,R.E.M.,1982,3.491766667,41,0.344,0.0369,0.9,163.445,0.83
3672,Die Mauer,Ebba Grön,1982,4.076216667,50,0.493,0.0306,0.516,129.5,0.487
3805,Valley Girl,Frank Zappa,1982,4.842216667,36,0.474,0.041,0.862,143.856,0.627
3868,We Can't Be Beaten,Rose Tattoo,1982,3.0851,44,0.551,0.0163,0.971,113.209,0.686
3908,Telegraph Road,Dire Straits,1982,14.30221667,60,0.381,0.0152,0.59,123.272,0.282
3927,Don't Change,INXS,1982,4.47,59,0.206,5.93E-05,0.81,163.552,0.155
3947,Party Fears Two,The Associates,1982,5.596666667,39,0.597,0.0528,0.874,128.556,0.58
3991,Change Of Heart,Tom Petty and the Heartbreakers,1982,3.313333333,37,0.534,0.00203,0.869,122.499,0.941
